Date,Backlash,Drivers,Empathy,Legal,Politics,Protest
2019-09-01,2138,10639,6793,313,1713,3735
2019-09-06,1883,14570,5901,683,5322,3592
2019-09-11,2175,10482,8323,1267,4519,1775
2019-09-16,2453,14998,9124,1077,5598,2213
2019-09-21,945,7465,4419,267,2848,812
2019-09-26,1328,10109,5301,837,3423,2306
2019-10-01,1600,10410,6764,1700,6820,1565
2019-10-06,1588,16803,18593,1219,4780,1501
2019-10-11,1239,22003,13201,799,4573,6421
2019-10-16,1737,20614,13937,583,3882,4050
2019-10-21,3440,17640,9962,1031,4659,6135
2019-10-26,1811,28859,8374,518,3180,3358
2019-10-31,1165,11552,5971,1288,3110,1303
2019-11-05,7019,18430,19053,963,9454,2627
2019-11-10,1271,10034,7509,573,4349,1908
2019-11-15,1993,10378,5515,932,2030,1583
2019-11-20,3505,7783,8314,1200,4424,3686
2019-11-25,2077,11130,7488,562,1851,1540
2019-11-30,1513,9959,6613,1692,5408,1616
2019-12-05,1376,14814,6027,1036,5715,1115
2019-12-10,1360,20801,23471,888,4318,6549
15402019-12-15,1727,22383,14803,648,3787,4278
2019-12-20,3096,14935,10324,803,5329,3943
2019-12-25,2249,32543,8897,707,3109,5542
