Date,Backlash,Drivers,Empathy,Legal,Politics,Protests
2018-11-01,8530,22308,18870,1516,10089,5014
2018-11-06,5797,18090,25322,1531,25949,6147
2018-11-11,2524,16189,14046,2533,6677,3406
2018-11-16,2476,14442,11100,1430,4992,3341
2018-11-21,2252,12928,8668,862,3666,2466
2018-11-26,2093,50565,10204,1177,3400,2048
2018-12-01,5452,17130,10793,2729,3201,3464
2018-12-06,2469,25227,6898,691,5629,3559
2018-12-11,1454,31628,8554,648,3910,3860
2018-12-16,1627,13162,9774,799,2757,1819
2018-12-21,3818,9325,23930,344,1768,5289
2018-12-26,1339,11369,6770,334,1882,1659
2019-01-01,1445,16972,9211,317,5752,4157
2019-01-06,2190,16910,11111,1689,4383,5714
2019-01-11,1705,18497,8506,738,6995,4412
2019-01-16,2336,18550,12893,671,6398,3418
2019-01-21,1814,21392,13006,1279,5956,4421
2019-01-26,1863,19719,13072,996,4727,4052
2019-01-31,2675,21140,9037,1837,11373,2892
2019-02-05,2898,22182,14716,450,12507,6028
2019-02-10,1724,12711,7258,690,4239,6116
2019-02-15,3377,13151,7113,983,4024,3548
2019-02-20,1859,15238,10144,1140,9272,2970
