topic,count,Date
Backlash,13518,2020-05-01
Backlash,8288,2020-05-02
Backlash,4089,2020-05-03
Backlash,2348,2020-05-04
Backlash,1902,2020-05-05
Backlash,3279,2020-05-06
Backlash,2765,2020-05-07
Backlash,2659,2020-05-08
Backlash,1708,2020-05-09
Backlash,6417,2020-05-10
Backlash,2338,2020-05-11
Backlash,1682,2020-05-12
Backlash,1025,2020-05-13
Backlash,439,2020-05-14
Backlash,1274,2020-05-15
Backlash,700,2020-05-16
Backlash,906,2020-05-17
Backlash,697,2020-05-18
Backlash,668,2020-05-19
Backlash,1477,2020-05-20
Backlash,767,2020-05-21
Backlash,795,2020-05-22
Backlash,550,2020-05-23
Backlash,582,2020-05-24
Backlash,378,2020-05-25
Backlash,807,2020-05-26
Backlash,1708,2020-05-27
Backlash,1444,2020-05-28
Backlash,1611,2020-05-29
Backlash,794,2020-05-30
Backlash,1067,2020-05-31
Drivers,14990,2020-05-01
Drivers,8764,2020-05-02
Drivers,5867,2020-05-03
Drivers,4262,2020-05-04
Drivers,3066,2020-05-05
Drivers,3657,2020-05-06
Drivers,4921,2020-05-07
Drivers,5540,2020-05-08
Drivers,3772,2020-05-09
Drivers,2705,2020-05-10
Drivers,3154,2020-05-11
Drivers,2038,2020-05-12
Drivers,4106,2020-05-13
Drivers,5270,2020-05-14
Drivers,3361,2020-05-15
Drivers,1756,2020-05-16
Drivers,1169,2020-05-17
Drivers,1902,2020-05-18
Drivers,2572,2020-05-19
Drivers,2285,2020-05-20
Drivers,1664,2020-05-21
Drivers,1757,2020-05-22
Drivers,1012,2020-05-23
Drivers,1092,2020-05-24
Drivers,1181,2020-05-25
Drivers,2256,2020-05-26
Drivers,2358,2020-05-27
Drivers,2218,2020-05-28
Drivers,2516,2020-05-29
Drivers,2435,2020-05-30
Drivers,2738,2020-05-31
Empathy,29667,2020-05-01
Empathy,12812,2020-05-02
Empathy,12277,2020-05-03
Empathy,6383,2020-05-04
Empathy,4036,2020-05-05
Empathy,4843,2020-05-06
Empathy,5901,2020-05-07
Empathy,4918,2020-05-08
Empathy,2986,2020-05-09
Empathy,3173,2020-05-10
Empathy,4505,2020-05-11
Empathy,3274,2020-05-12
Empathy,4223,2020-05-13
Empathy,1825,2020-05-14
Empathy,2923,2020-05-15
Empathy,2201,2020-05-16
Empathy,1251,2020-05-17
Empathy,2220,2020-05-18
Empathy,2819,2020-05-19
Empathy,14837,2020-05-20
Empathy,5854,2020-05-21
Empathy,2248,2020-05-22
Empathy,1888,2020-05-23
Empathy,2012,2020-05-24
Empathy,1121,2020-05-25
Empathy,2144,2020-05-26
Empathy,3131,2020-05-27
Empathy,2028,2020-05-28
Empathy,3918,2020-05-29
Empathy,2383,2020-05-30
Empathy,3196,2020-05-31
Legal,634,2020-05-01
Legal,291,2020-05-02
Legal,327,2020-05-03
Legal,429,2020-05-04
Legal,312,2020-05-05
Legal,296,2020-05-06
Legal,526,2020-05-07
Legal,460,2020-05-08
Legal,249,2020-05-09
Legal,229,2020-05-10
Legal,344,2020-05-11
Legal,104,2020-05-12
Legal,227,2020-05-13
Legal,147,2020-05-14
Legal,708,2020-05-15
Legal,232,2020-05-16
Legal,98,2020-05-17
Legal,112,2020-05-18
Legal,115,2020-05-19
Legal,70,2020-05-20
Legal,68,2020-05-21
Legal,1063,2020-05-22
Legal,318,2020-05-23
Legal,138,2020-05-24
Legal,134,2020-05-25
Legal,513,2020-05-26
Legal,305,2020-05-27
Legal,87,2020-05-28
Legal,72,2020-05-29
Legal,121,2020-05-30
Legal,66,2020-05-31
Politics,79300,2020-05-01
Politics,43609,2020-05-02
Politics,39135,2020-05-03
Politics,13768,2020-05-04
Politics,13459,2020-05-05
Politics,14599,2020-05-06
Politics,15995,2020-05-07
Politics,20874,2020-05-08
Politics,9623,2020-05-09
Politics,11994,2020-05-10
Politics,8145,2020-05-11
Politics,13391,2020-05-12
Politics,9030,2020-05-13
Politics,2994,2020-05-14
Politics,9175,2020-05-15
Politics,5621,2020-05-16
Politics,3147,2020-05-17
Politics,4060,2020-05-18
Politics,6697,2020-05-19
Politics,17232,2020-05-20
Politics,7890,2020-05-21
Politics,30684,2020-05-22
Politics,4947,2020-05-23
Politics,3212,2020-05-24
Politics,1875,2020-05-25
Politics,4646,2020-05-26
Politics,4507,2020-05-27
Politics,2379,2020-05-28
Politics,7294,2020-05-29
Politics,4030,2020-05-30
Politics,3140,2020-05-31
Protests,8761,2020-05-01
Protests,4811,2020-05-02
Protests,2585,2020-05-03
Protests,1569,2020-05-04
Protests,1468,2020-05-05
Protests,1854,2020-05-06
Protests,2175,2020-05-07
Protests,3431,2020-05-08
Protests,1051,2020-05-09
Protests,866,2020-05-10
Protests,909,2020-05-11
Protests,1232,2020-05-12
Protests,857,2020-05-13
Protests,600,2020-05-14
Protests,1645,2020-05-15
Protests,899,2020-05-16
Protests,876,2020-05-17
Protests,1297,2020-05-18
Protests,3183,2020-05-19
Protests,1077,2020-05-20
Protests,520,2020-05-21
Protests,1021,2020-05-22
Protests,725,2020-05-23
Protests,1727,2020-05-24
Protests,844,2020-05-25
Protests,1990,2020-05-26
Protests,1558,2020-05-27
