Date,Backlash,Drivers,Empathy,Legal,Politics,Protests
2020-05-01,13518,14990,29667,364,79300,8761
2020-05-02,8288,8764,12812,291,43609,4811
2020-05-03,4089,5867,12277,327,39135,2585
2020-05-04,2348,4262,6383,429,13768,1569
2020-05-05,1902,3066,4036,312,13459,1468
2020-05-06,3279,3657,4843,296,14599,1854
2020-05-07,2765,4921,5901,526,15995,2175
2020-05-08,2659,5540,4918,460,29874,3431
2020-05-09,1708,3772,2986,249,9623,1051
2020-05-10,6417,2705,3173,229,11994,866
2020-05-11,2338,3154,4505,344,8145,909
2020-05-12,1682,2038,3274,104,13391,1232
2020-05-13,1025,4106,4223,227,9030,857
2020-05-14,439,5270,1825,147,2994,600
2020-05-15,1274,3361,2923,708,9175,1645
2020-05-16,700,1756,2201,232,5621,899
2020-05-17,906,1169,1251,98,3147,876
2020-05-18,697,1902,2220,112,4060,1297
2020-05-19,668,2572,2819,115,6697,3183
2020-05-20,1477,2285,14837,70,17232,1077
2020-05-21,767,1664,5854,68,7890,520
2020-05-22,795,1757,2248,1063,30684,1021
2020-05-23,550,1012,1888,318,4947,725
2020-05-24,582,1092,2012,138,3212,1727
2020-05-25,378,1181,1121,134,1875,844
2020-05-26,807,2256,2144,513,4646,1990
2020-05-27,1709,2358,3131,305,4507,1558
2020-05-28,1444,2218,2028,87,2379,1264
2020-05-29,1611,2516,3918,72,7294,1368
2020-05-30,794,2435,2383,121,4030,1729
2020-05-31,1067,2738,3196,66,3140,2760
2020-06-01,222,679,790,24,950,562
2020-06-02,205,2148,1437,38,706,1633
2020-06-03,563,3024,2282,116,1382,1639
2020-06-04,1869,3883,1671,80,721,2112
2020-06-05,2398,5875,2736,141,977,1701
2020-06-06,1671,3926,2928,91,1296,3140
2020-06-07,486,1731,1282,52,673,973
2020-06-08,217,2313,1060,513,644,1822
2020-06-09,208,1645,1085,97,986,1265
2020-06-10,285,2340,2669,55,1115,1425
2020-06-11,202,2007,3223,148,1189,1306
2020-06-12,167,1464,918,183,1301,3306
2020-06-13,136,1467,993,70,544,1780
2020-06-14,285,2155,898,58,679,2207
2020-06-15,194,3059,1900,127,698,3664
2020-06-16,13626,1803,987,158,1004,28110
2020-06-17,787,1329,705,57,579,1736
2020-06-18,448,2368,979,61,1210,1358
2020-06-19,427,1973,1157,61,1141,1177
2020-06-20,290,2117,1462,78,747,859
2020-06-21,277,2322,1935,75,834,1098
2020-06-22,493,10254,5342,842,1500
2020-06-23,374,4658,3476,115,718,1248
2020-06-24,331,4819,2365,54,858,1652
2020-06-25,315,3880,2458,59,1212,1564
2020-06-26,400,3443,2675,57,942,1115
2020-06-27,465,3326,2284,33,706,1318
2020-06-28,375,2777,2112,83,576,1010
2020-06-29,262,2032,1825,56,629,836
2020-06-30,1312,2799,1410,79,649,924
2020-07-01,511,2214,2259,43,767,863
2020-07-02,640,2147,4110,422,1940,889
2020-07-03,1876,1908,1818,204,909,757
2020-07-04,630,1391,1368,184,500,592
2020-07-05,243,1774,1015,213,486,799
2020-07-06,212,4000,3774,1083,2017,1036
2020-07-07,412,7639,7665,2875,3602,1709
2020-07-08,256,3407,4132,218,1945,1245
2020-07-09,262,3491,3081,221,794,934
2020-07-10,202,1884,2495,93,5643,4840
2020-07-11,253,1540,1984,141,1201,1464
2020-07-12,119,2345,1573,31,964,745
2020-07-13,184,3431,1728,73,1929,555
2020-07-14,185,1696,4836,75,677,433
2020-07-15,174,1629,1409,141,598,1010
2020-07-16,0,0,0,0,0,0
2020-07-17,0,0,0,0,0,0
2020-07-18,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0
2020-07-20,192,1393,1207,38,1112,661
2020-07-21,787,4968,2608,76,1396,1395
2020-07-22,218,2274,1296,53,1219,528
2020-07-23,186,1103,2958,41,7042,401
2020-07-24,223,13304,9777,92,27630,447
2020-07-25,236,1260,2477,24,3895,893
2020-07-26,278,929,917,85,1121,1471
2020-07-27,127,2080,630,22,524,466
2020-07-28,137,1382,1115,24,688,472
2020-07-29,124,1391,3804,56,6518,563
2020-07-30,144,1239,6540,55,10550,584
2020-07-31,325,2008,1794,88,2074,700
2020-08-01,279,1336,1242,72,1144,484
2020-08-02,378,2007,1642,69,1381,1096
2020-08-03,454,1418,1483,55,803,1368
2020-08-04,261,2394,1298,43,1057,2223
2020-08-05,301,2706,720,62,921,1003
2020-08-06,168,1365,1282,40,523,618
2020-08-07,264,1036,635,38,666,556
2020-08-08,214,852,798,51,528,504
2020-08-09,211,750,549,36,575,478
2020-08-10,225,1831,2559,108,569,2587
2020-08-11,220,1209,2426,67,1687,956
2020-08-12,443,4870,1864,298,11253,1393
2020-08-13,312,1448,1558,84,4780,658
2020-08-14,557,1499,892,74,1961,619
2020-08-15,260,848,631,59,1141,620
2020-08-16,173,2346,578,52,1901,416
2020-08-17,236,3081,762,63,9310,434
2020-08-18,19959,5367,4896,193,94561,1843
2020-08-19,10516,12747,8567,146,60901,1683
2020-08-20,1752,3808,3614,94,12975,763
2020-08-21,442,2141,2226,99,5527,858
2020-08-22,2131,2694,8150,157,4397,1489
2020-08-23,683,1666,3450,67,1727,1259
2020-08-24,942,1439,2543,109,1554,2229
2020-08-25,324,1441,1352,125,1099,998
2020-08-26,329,1593,1297,142,1149,699
2020-08-27,380,2282,1476,175,1301,1290
2020-08-28,259,4126,1151,456,1642,2408
2020-08-29,323,21676,2597,235,2092,4240
2020-08-30,255,6480,3158,1057,1154,2079
2020-08-31,268,5473,1591,258,1231,1321
