Date,Backlash,Drivers,Empathy,Legal,Politics,Protests
2020-05-01,40104,36949,65175,1723,189271,8761
2020-05-06,16828,20595,21821,1760,82085,9377
2020-05-11,6758,17929,16750,1530,42735,5243
2020-05-16,4448,9684,23328,627,36757,7332
2020-05-21,3072,6706,13123,1721,48608,4837
2020-05-26,6365,11783,13604,1098,22856,7909
2020-05-31,3926,12472,9376,324,6899,8706
2020-06-05,4980,15490,9091,894,4576,8901
2020-06-10,1075,9433,8701,514,4828,9924
2020-06-15,15428,10532,5728,464,4632,36045
2020-06-20,1765,24170,14580,404,3199,6357
2020-06-25,1817,15458,11354,288,4065,5843
2020-06-30,4969,10459,10965,932,4765,4025
2020-07-05,1385,20311,19677,4610,8844,5723
2020-07-10,943,10896,12606,413,10414,8037
2020-07-15,15,174,1629,1409,141,598,1010
2020-07-20,1606,23069,17846,300,38399,3432
2020-07-25,902,7042,8943,211,40076,3865
2020-07-30,1580,8008,12701,339,15952,4232
2020-08-04,1208,8353,4733,234,3695,4904
2020-08-09,1441,10108,8956,593,18864,6072
2020-08-14,21185,13151,7759,441,108874,3932
2020-08-19,15524,23056,26007,563,85527,6052
2020-08-24,2234,10881,7819,1008,6724,7624
