start_of_week,backlash,racism,protest,culture,structural
2020-04-27,587,8572,17620,812
2020-05-04,9945,397126,53174,8257,54965
2020-05-11,499,43697,15057,6124,4827
2020-05-18,678,37138,6631,6521,1927
2020-05-25,168115,10027546,4584260,629190,1601434
2020-06-01,175911,6716622,6823680,1418292,1850215
2020-06-08,182575,4638822,7726561,900724,744436
2020-06-15,157586,2745356,2794407,328335,407863
2020-06-22,118627,1682503,2002397,137623,455935
2020-06-29,176624,1411936,2579844,81289,458891
2020-07-06,72641,1004056,1258763,79923,217015
2020-07-13,35038,507552,551082,35769,124179
2020-07-20,66455,1008514,1220373,122032,168832
2020-07-27,47971,554389,859353,70018,143522
2020-08-03,32149,411727,567235,34836,109008
2020-08-10,40598,430653,575515,44589,78394
2020-08-17,52612,410637,597530,34501,82870
2020-08-24,169055,2467381,2045058,14097,285033
2020-08-31,38213,231369,273518,10990,37340
