Date,Backlash,Drivers,Protests,Empathy,Politics
2019-07-01,10742,14126,5452,11275,4805
2019-07-08,2127,36575,5515,20978,9457
2019-07-15,2115,16244,4543,8954,12130
2019-07-22,3142,19546,5548,13898,5180
2019-07-29,1619,14141,3989,17854,3738
2019-08-05,1321,13700,6417,8223,4501
2019-08-12,1399,16654,3839,9518,3851
2019-08-19,1454,13138,5181,20159,17173
2019-08-26,66446,22664,14262,13647,4919
2019-09-02,17977,19391,7975,9689,4621
2019-09-09,4071,17501,6620,12930,9621
2019-09-16,3137,19336,5724,11847,7882
2019-09-23,1476,14666,4670,7248,6336
2019-09-30,2580,16260,5599,11542,10483
2019-10-07,2257,26870,9093,27156,8288
2019-10-14,2432,31200,9115,19021,7235
2019-10-21,4380,32135,7362,13699,7292
