start_of_week,Backlash/Resistance,Black Empowerment,Economic Collective Action,Emotion/Empathy/Solidarity,Global Protests/Allied Movements,Justice/Accountability,Police Reform,Police/Police Violence,Politcal Change,Political Change,Racism/Inequality,Victim Focused
2020-04-27,587,777,1135,16979,20765,686,0,4719,126,15708,3255,598
2020-05-04,9945,2939,3790,27611,25563,53615,3,112865,1347,1528,138207,146054
2020-05-11,499,2403,3409,7839,7218,4540,,13743,287,312,11183,18771
2020-05-18,678,2776,3325,12194,5147,1484,0,4317,443,420,28915,3906
2020-05-25,168115,47720,263651,3376654,3319333,1264927,112888,3220460,223619,317819,2546970,4260116
2020-06-01,175911,230777,978153,4124120,5189252,1634428,24966,2105189,190821,209362,3038815,1572618
2020-06-08,182575,68807,687379,2733186,4993375,603946,35966,1669085,104524,144538,2009089,960648
2020-06-15,157586,115885,115358,1031858,1762549,315074,22641,942816,70148,97092,1231312,571228
2020-06-22,118627,24841,69239,640742,1361655,403658,15756,676624,36521,43543,678964,326915
2020-06-29,176624,16098,38649,489919,2089925,425025,9681,597818,24175,26542,546303,267815
2020-07-06,72641,13165,31002,459376,799387,186985,12496,360642,17534,35756,449662,193752
2020-07-13,35038,5786,8322,182334,368748,108683,7590,253431,7906,21661,164655,89466
2020-07-20,66455,9774,15065,294368,926005,147746,5253,439456,15833,97193,234146,334912
2020-07-27,47971,9793,12135,304947,554406,127230,4681,202703,11611,48090,275033,76653
2020-08-03,32149,7150,12965,207854,359381,91261,6738,151893,11009,14721,164024,95810
2020-08-10,40598,6466,18730,148895,426620,60996,5324,186957,12074,19393,197459,46237
2020-08-17,52612,11120,10152,209773,387757,70879,4045,179289,7946,13229,180772,50576
2020-08-24,169055,17630,81961,692162,1352896,193336,17260,1079558,74437,41326,645886,741937
2020-08-31,38213,2046,4338,104873,168645,29872,1309,119469,6159,4606,81888,30012
